Number_of_Times,Winning_Team,Player_Name
   1 Kings XI Punjab,KD Karthik
   1 Kings XI Punjab,J Theron
   1 Kings XI Punjab,IK Pathan
   1 Kings XI Punjab,Harmeet Singh
   1 Kings XI Punjab,HM Amla
   1 Kings XI Punjab,GJ Bailey
   1 Kings XI Punjab,DJ Hussey
   1 Kings XI Punjab,BA Bhatt
   1 Kings XI Punjab,B Lee
   1 Kings XI Punjab,AD Mascarenhas
   1 Gujarat Lions,V Kohli
   1 Gujarat Lions,P Kumar
   1 Gujarat Lions,CH Morris
   1 Delhi Daredevils,Z Khan
   1 Delhi Daredevils,Yuvraj Singh
   1 Delhi Daredevils,TM Dilshan
   1 Delhi Daredevils,SP Goswami
   1 Delhi Daredevils,S Nadeem
   1 Delhi Daredevils,R Bhatia
   1 Delhi Daredevils,Q de Kock
   1 Delhi Daredevils,PD Collingwood
   1 Delhi Daredevils,P Negi
   1 Delhi Daredevils,NM Coulter-Nile
   1 Delhi Daredevils,Mohammed Shami
   1 Delhi Daredevils,MF Maharoof
   1 Delhi Daredevils,MA Agarwal
   1 Delhi Daredevils,M Vijay
   1 Delhi Daredevils,M Morkel
   1 Delhi Daredevils,KP Pietersen
   1 Delhi Daredevils,KM Jadhav
   1 Delhi Daredevils,IK Pathan
   1 Delhi Daredevils,GD McGrath
   1 Delhi Daredevils,DP Nannes
   1 Delhi Daredevils,DL Vettori
   1 Delhi Daredevils,CR Brathwaite
   1 Delhi Daredevils,CJ Anderson
   1 Delhi Daredevils,CH Morris
   1 Delhi Daredevils,A Nehra
   1 Deccan Chargers,WPUJC Vaas
   1 Deccan Chargers,TL Suman
   1 Deccan Chargers,S Sohal
   1 Deccan Chargers,S Dhawan
   1 Deccan Chargers,RP Singh
   1 Deccan Chargers,RJ Harris
   1 Deccan Chargers,PP Ojha
   1 Deccan Chargers,KC Sangakkara
   1 Deccan Chargers,I Sharma
   1 Deccan Chargers,Harmeet Singh
   1 Deccan Chargers,HH Gibbs
   1 Deccan Chargers,DR Smith
   1 Deccan Chargers,CL White
   1 Deccan Chargers,A Kumble
   1 Chennai Super Kings,WP Saha
   1 Chennai Super Kings,SB Jakati
   1 Chennai Super Kings,S Badrinath
   1 Chennai Super Kings,S Anirudha
   1 Chennai Super Kings,R Ashwin
   1 Chennai Super Kings,P Negi
   1 Chennai Super Kings,MM Sharma
   1 Chennai Super Kings,L Balaji
   1 Chennai Super Kings,KMDN Kulasekara
   1 Chennai Super Kings,JDP Oram
   1 Chennai Super Kings,JA Morkel
   1 Chennai Super Kings,DJ Bravo
